"Iteration"	"posterior"	"NumSpeciation"	"numExtinction"	"numMassExtinctions"
72500	-1840.65793123903	2	2	4
72600	-1839.68423939402	3	2	2
72700	-1828.39974907872	3	2	1
72800	-1826.68793508888	2	2	1
72900	-1833.85402700591	3	2	2
73000	-1824.72896385608	2	2	1
73100	-1835.0079344386	5	2	0
73200	-1844.76303730785	3	2	4
73300	-1841.28539031824	3	2	3
73400	-1835.20215067852	3	2	2
73500	-1837.79843724813	3	2	2
73600	-1824.09472446299	2	2	0
73700	-1838.85944936648	4	2	2
73800	-1837.37420736226	2	2	2
73900	-1825.18536578068	2	2	0
74000	-1831.91098804313	2	2	1
74100	-1832.50449284838	3	2	1
74200	-1830.34573844992	2	2	2
74300	-1831.04759332271	2	2	1
74400	-1828.02794001196	2	2	1
74500	-1833.49400117038	3	2	1
74600	-1857.75070018836	4	1	4
74700	-1823.43051617098	1	1	2
74800	-1842.59021262124	2	1	5
74900	-1828.3379263406	2	1	3
75000	-1843.19764898416	5	2	1
75100	-1843.43768810562	2	2	3
75200	-1832.95015495089	2	1	3
75300	-1844.49713808913	2	1	4
75400	-1823.63293789809	2	1	2
75500	-1823.59311042515	1	1	2
75600	-1845.23252604057	4	1	3
75700	-1840.6138631458	4	1	3
75800	-1829.56899141342	2	1	3
75900	-1829.70350973591	2	1	3
76000	-1829.17287647374	1	1	4
76100	-1860.95567110875	2	2	7
76200	-1834.90257748022	1	2	3
76300	-1829.09428898246	1	1	4
